HM1: Division,Comment
Community Care Division,"I feel most of the time not supported enough by my managers in band 8 and above, we do not have face to face meeting even though we have safety huddle we do not get our chance to speak about our issues, and also even when we speak about the problems they will not get sorted."
Community Care Division,I feel my division cares more about performance then patient safety.  Often feel decisions at an SLT level are very short sighted.  Unreasonable work load pressure at times.
Community Care Division,"I feel my immediate manager is very supportive, they listens to my concerns and will always but my health before work.  I do struggle sometimes with the higher managers and the way they communicate things with me especially when changes need to be made in the way I work."
Community Care Division,I feel our role is not appreciated and despite staffing pressures within the team staff are often moved at short notice to support other service lines.  This is very unsettling for the team.
Community Care Division,I feel over worked feel under appreciated under valued and think the pay in disgraceful.
Community Care Division,"I feel really fortunate to work the manager that I do, they are very supportive, understanding and an all round great person."
Community Care Division,I feel supported by my line manager and my team but not the higher management who have recently brought about an organisational change and left us in chaos.  One [job title removed] changed our off duty and didn't reply to several emails.
Community Care Division,"I feel supported by our managers and higher up managers too, I feel that I am able to approach managers and colleagues to discuss work when required.  I feel that the managers also encourage us to develop our careers further."
Community Care Division,"I feel that all the correct things are said however sometimes this feels like management speeches, not personal or individual.  The lack of staff and lack of vacancies other than mental health roles does not make any improvement to staff moral.  Staff are exhausted but keep being told that the ratios are correct.  It feels like there is an ever increasing gap between those working on the frontline and senior leaders.  The rules are so conflictive where staff have to wear uniform in the office environment however senior leadership can wear what they like?  It feels very divided and lip service is paid to the struggling teams out there."
Community Care Division,I feel that although we voice that we are over loaded they don't listen and we have voiced this so many times.
Community Care Division,I feel that as a district nurse working x5 days a week I often feel I do not have a good work life balance however I feel with our current salary I would be unable to drop my hours to part time.  I am also aware that in the field I work in within my organisation I am not able to do long days as they are not offered.  I also feel that I cannot do bank work as this would affect my mental health as I already work full time hours.  I also feel that I have had stressful times over the past year due to car breakdowns.  As my work requires me to use my own car to visit patients this has a detrimental effect on the service and makes me feel guilty if I am without a car due to breakdown.  I also feel we do not get enough money in terms of expenses for wear and tear on our own vehicles being used daily to sometimes travel up to 30 miles a day.
Community Care Division,I feel that as admin we are overlooked with being able to work from home.
Community Care Division,"I feel that at times staff behaviours are not dealt with, there is an unfair disparity between staff with and those without disabilities.  Staff with children are not always supported.  Communication is not always the best and the organisation feels at times like a dictatorship/done to rather than with organisation."
Community Care Division,"I feel that changing the hours within the District Nursing service has stretched the day staff leaving us short staffed with the same workload.  The 5-8 shift, there are more staff available with often less call outs.  Continuity of care is difficult to achieve as staff are expected to pick up work from other teams as they are now short staffed in the day.  Morale is at an all time low within the teams.  Sickness within the teams is increasing.  Its just so sad that an amazing well lead District Nursing service is now struggling."
Community Care Division,I feel that management (*including wider management) are more focussed on targets and outcomes rather than wellbeing of staff and patients.
Community Care Division,I feel that our team has an excellent care culture - very nurturing and a lovely team to work in.
Community Care Division,"I feel that some KPIs are unachievable, unfair and take away from patient care, for example access rates.  I also feel the new 15% annual leave KPI affects having a healthy work life balance when annual leave is not granted."
Community Care Division,"I feel that the staffer staffing model needs to be implemented appropriately - to avoid staff burn out, stress and pressures.  Particularly with winter pressures impending.  We as a team work on minimum staffing number meaning staff sickness etc. really does impact service delivery - leading to long waits and stressful working environments."
Community Care Division,"I feel that the Trust's Respect and Civility Policy favours the perpetrator and doesn't consider the feelings of the person on the receiving end, e.g. of bullying in the workplace.  I don't feel mediation is always the answer and the Trust should take appropriate disciplinary action in some cases."
Community Care Division,"I feel that there could be more support for staff with neuro divergent conditions especially around recruitment and selection process.  I do not feel that staff are aware of what adjustments can be requested for interview and there is not anything to request on the interview acceptance form as it is more related to physical limitations.  I do feel I was disadvantaged at a recent interview due to this as there was an unseen presentation which I could not fully complete due to my protected characteristics.  I believe that the service line in which I work has struggled as it has only recently had quality nursing posts added to SLT and an addition of an AHP lead would contribute to the team immensely.  Although the addition of Microsoft teams meetings have been a gamechanger and improved communication it also means that sometimes meetings can be back to back throughout the day with little chance to catch up on actions adding to workload pressures.  Throughout the division there seems to be some evidence that people are promoted into senior positions that do not have the necessary experience or knowledge for the roles they have taken on, this has led to a lack of robust leadership and decision making that impacts on teams.  Although I do enjoy my job and will always give 100% I also feel that the last 12 months have been difficult with sickness and vacancies impacting on my abilities to fulfil my role to the best of my abilities as I have been picking up work for absent colleagues.  I also feel that my contribution to the service line was not understood or acknowledged and as a result I feel there is nowhere further that I can progress my career and if anything has had a severe impact on my confidence.  I want to acknowledge that my colleagues in my team and the clinical teams are amazing and work tirelessly to ensure that the patients get the best experience from them and they flex on a regular basis if new pathways are introduced or piloted to ensure that patient can receive the right treatment in their own home."
Community Care Division,"I feel that there needs to be more equality in the management structures in the trust, there are staff line managing larger teams of 30+ staff while others managers within the same division are managing small teams of less than 10 staff.  In my role for the past 12 months at least 50% of that time I have had no operational manager in place.  This has meant that I have received very infrequent management supervision and support, been a new manager supporting over 30 staff I feel that this is not adequate making the role very difficult."
Community Care Division,I feel that this trust is bullying staff and changes rules and regulations to suit what they want to do.  A member of staff in my team is being treated appallingly currently by senior management.  I would not recommend Mersey Care as a trust to work for.
Community Care Division,"I feel that when I first joined this organisation a few years ago; the trust was an excellent place to work.  Sadly; over recent years there has been a huge decline in the overall culture, especially from senior management.  I often see what I would call bullying behaviours on meetings and feel that recruitment to senior posts are already a; ''done deal'' prior to even been advertised, there has been a definite increase in nepotism in regards to recruitment, especially around family members of senior leaders getting jobs and being promoted."
Community Care Division,"I feel that within MERSEYCARE the goal of expansion and increasing wealth is often main priority rather then excelling at patient care.  The trust takes over vast areas of care however never reinvests back into the existing one, it loads more work onto already stretched services and then expects everyone to just concede to the new way of working despite it being potentially unsafe.  It feels as if whomever bids for the services we take on has no clue about what is actually happening on the ground and just decides to take on work passing the weight down through the management structure to the staff on the ground, expecting miracles that are unreasonable and not what staff actually want.  The expectation to work within this archaic structure of 'I say and you do' is soo antiquated.  The staff are highly intelligent, flexible and adaptive individuals with good insight and excellent care but this is stretched thin when the trust demands raise and the capacity does not reflect.  WE are not transparent to our partners in PCNs or ICBs, we hide the fact that staffing isn't safe or within line to receive the volume of work we have agreed to and we don't do anything well.  WE scrape by doing things to ensure the homeostasis however we don't do anything very well or excel at anything."
Community Care Division,"I feel that within the organisation, our work load is continuing to increase and we are expected to just get on with it.  On days when our team are struggling, I feel the problems are papered over and no real plan is put in place for a long term goal.  More and more is expected of us, but when things go wrong, I still feel we have a blame culture and are not supported.  We struggle through more and more work loads, and there is no cut off, we are expected to just continue, sometimes with no support at all."
Community Care Division,I feel the main priority for Mersey care is mental health care/workers rather than the adult nursing areas.
Community Care Division,"I feel the NHS management culture is to listen with closed ears.  It is all lip service with no action following any discussions.  I quite often give suggestions on how to improve the service, this is always received with a closed book but then later on (maybe a few months later), my suggestion is put in force.  It is as if they don't like non-management making suggestions.  There is definitely a pecking order culture, even though in my former employment I was had a high profile managerial position!"
Community Care Division,"I feel the organisation is very focused on saving money to the detriment of patient care.  There is no succession planning, feel that the organisation on a whole are not proactive for planning for the future and ensuring teams are safely staffed prior to staff leaving.  Budgets are not regularly reviewed and haven't been updated for 10 + years to reflect the patient complexity and acuity."
Community Care Division,I feel the senior leadership team need to work on empathic communication and understanding roles of those who work in teams.  Too much of a gap between expectations and understanding of roles.
Community Care Division,I feel there should be a better system/strategy to show recognition for others.
Community Care Division,"I feel there should be recognition for length of service.  Whilst immediate managers are supportive and show appreciation of experience, the trust should be able to award something to recognise those who have significant experience at the top of their bands, often performing above their bands due to their experience.  The trust needs to explore further opportunities for clinical specialist posts as currently you can only progress as an AHP past a B7 if you go into management/ non patient facing job role."
Community Care Division,"I feel this survey is generic and does not represent the percentage of the workforce that work in Merseycare.  It is a liberal tick box exercise that does not meet the work force population within Merseycare, maybe allow additional comments in each section to get true feedback and not the percentages outcome that you will get from a tick box exercise."
Community Care Division,"I feel this trust as a culture of you do as I say and are not approachable to staff, they don't listen to staff concerns nor try to resolve this.  Going to freedom of speak doesn't help either as we as a team have approach this route with no resolution for [timeframe removed] and we are still waiting."
Community Care Division,I feel undervalued and by the organisation (not my immediate manager).  Staff are not always listened too.  Sometimes staff are given lip service.
Community Care Division,"I feel upper management is lead too much by KPIs and productivity relating to number of patient visits rather than quality of visits.  This is not a true reflection of the work load we do on a daily basis which is complex, qualitative, and multi-faceted."
Community Care Division,I feel valued by my team but not the organisation.
Community Care Division,"I feel valued within my team, we are actively encouraged to have daily catch up meetings and informal supervision, discuss any concerns or problems.  My concerns are with senior members of the board who look into Emis diaries regarding (quantity)how many visits?  Rather than quality."
Community Care Division,"I feel very disillusioned with the Trust at present, it feels too big with not enough corporate support to support services.  Estates issues are not always addressed in a timely manner.  HR support has improved since NWB joined although you can wait for days for advice which makes it difficult to manage staff or situations.  Policies do not match with some of the new systems we are using, too many systems in the management of staff.  Lack of communication from Commissioner's and contract updates are non existent and we are expected to deliver the same services on a contract that was awarded 10 years ago which is impossible within the current budget and the demand for services has increased dramatically with the patients becoming increasingly complex."
Community Care Division,"I feel very settled and happy within my team.  My manager is very supportive and approachable, which keeps the staff moral high.  My colleagues are great to work with, and we are very supportive to each other.  I feel lucky to be part of this amazing team!"
Community Care Division,"I feel very supported by my team and organisation, I feel this is due to the culture of my team and good management."
Community Care Division,I feel very supported in my work place by my colleagues and especially by my manager.
Community Care Division,I feel well supported by my team interim manager and also by their ops manager.
Community Care Division,"I found that when some colleagues have been given the opportunity to step into a role for months, with the belief they will be accepted to complete the role and stay in the role if proven to be good at that job role for years to come.  But then not be informed they aren't allowed to continue in that role and they have been informed they no longer have a job role within that team, when their is known vacancies for that job role they have been doing.  Then they have to wait to hear if they have a job to go to, when other staff have been brought in their place and they then have no job and they end up leaving for another job role out of this trust which is a huge loss of expertise and fantastic skilled nurses."
Community Care Division,"I generally enjoy my job and value my work.  The most challenging part of work is targets which are often difficult to meet due to the nature in which information is collated.  For example, a client who drops out of treatment following 2 or 3 sessions impacts on therapists overall recovery rate.  I have also noticed an increase in more challenging and complex clients over the past 12 months without any changes to caseload numbers or having extra time to treat this client group.  I would recommend my role to others however feel with a few changes it could be an even better place to work."
Community Care Division,"I generally enjoy my job, however some colleague's behaviours are very unprofessional and I do wonder if this is tackled my higher management."
Community Care Division,"I get annoyed with being pressurised by my organisation to fill in this questionnaire every time it is produced.  Just so they can get their % up!  I see little point in completing it.  No changes are produced as a result of it.  No feedback is received.  It feels a waste of time.  And why does it matter if my sex is the same as my birth sex.  There are 2 genders male and female.  The correct grammar is he or she.  So why all these ridiculous questions?  All the NHS management side cares about is ticking boxes, passing an inspection etc.  Nobody shows much interest in the day to day issue of staff numbers between these inspections.  Report unsafe staffing - we do!  Nothing changes.  Its been like this for years.  I have worked in the NHS for [timeframe removed]."
Community Care Division,"I had to raise formal concerns about the service and colleagues clinical work around 12 months ago.  An action plan was written but I never had an outcome to this despite chasing it up.  There are ongoing issues with colleagues talking about each other, this is an issue from clinical leads down and has never in any way been successfully addressed.  I am [condition removed] and have unfortunately had a lot of [condition removed] related sickness.  My experience is there is little support or understanding of how [condition removed] related sickness should be treated or that somebody may not have a straight forward [condition removed] - I have had attempts to trigger maternity leave and told I would at face disciplinary for further [condition removed]  related sickness.  Clear irritation if I haven't been well enough to work and on my return senior staff won't ask how I am but will email about picking up more work etc.  I really feel that management would benefit from some training around how to support pregnant staff and particularly those who are experiencing [condition and details removed].  I had to ask repeatedly for [details removed] risk assessment.  Basic things like return to works (not even a phone discussion to see how I am) and updating my [details removed] risk assessment haven't been done."
Community Care Division,I have a fantastic and very supportive team and I feel extremely supported within my role.
Community Care Division,I have a good working relationship with my line manager.
Community Care Division,I have a lot of family problems at the moment and feel that my managers have been very understanding of these problems and have let me take family members to appointments as and when needed and have let me make this time up as and when I am able to.  I appreciate this a lot.
Community Care Division,"I have absolute faith in my manager.  However, the Trust as a whole is money orientated and the feel is that they really don't care about staff.  I'd have my team look after my family but not the organisation.  We don't get breaks so there's an hour that I don't get paid for and because of that I'm working for an hour every shift.  There is no organisation between MDT's.  Trying to get hold of someone outside of our team is impossible and this impacts patients.  Moral is horrendous.  I'm not sure what higher management are getting paid to do, which is handsome, and what they're actually doing.  I don't think people outside of each team realise how others are struggling.  We are angry fed up and working for free.  Things are at breaking point."
Community Care Division,I have always enjoyed my job and love working in a team.  I feel important in my job role and my colleagues are really happy with my work too.
Community Care Division,"I have been in my job in community Phlebotomy for many years under North West Boroughs.  Since we were taken over by Merseycare the job is not what it was, we are on minimum wage and considering we are one of the busiest services we are being put under pressure on a daily basis, I consider myself as a hard worker but this is stressing me out, I've tried to explain mistakes will happen if we are put under more pressure.  Knowsley Phlebotomy do a great Job but I'm so thinking of walking away.  Nobody listens to us and it is so frustrating.  Someone in this organisation needs to listen to our concerns instead of just expecting us to do as we are told, Feeling bullied to be honest and as an adult this does not feel great."
Community Care Division,I have been in this current role since [date removed] so some of the answers related to my previous position so is this looking at the full overall score as my role now!  [timeframe removed] community nursing.  [date removed] - present bladder and bowel role.
Community Care Division,"I have been working in Mersey Care for a few years now and it is a trust I am proud to work for.  Compared to the previous trust I worked for, the senior leadership is very visual and supports all staff.  I will never leave Mersey Care as I feel valued, and would encourage people to work for this organisation."
Community Care Division,I have completed this survey out of work time.
Community Care Division,I have completed this survey reflecting on my department as I feel valued by the Dental directorate but not with Mersey Care.  I have had to use my own annual leave to see my daughter through cancer and chemo treatment which I think is disgusting.  I applied myself for the long service award and I'm still waiting 12 months on!
Community Care Division,"I have felt very pressured and stressed within this organisation, I would actively encourage friends or family not to work for this organisation, listening to senior management stating ""its a service requirement""."
Community Care Division,"I have flexible working now, but this was difficult to get but now it is in place it works well.  Sometimes get one bad person who can spoil a team, and this is not addressed.  I have allocated work and meet my targets, but I know others in the tam do not as we have a weekly meeting and things are shred.  To me this should be private as they might feel bad, and I feel I'm doing more than others.  Best thing is my team and enjoy spending time in work due to them, too much working from home takes this away."
Community Care Division,"I have found working for Merseycare frustrating at times due to the lack of communication, systems get change i. e. Oh referrals and you are not informed you have to find out for yourself."
Community Care Division,"I have great concerns regarding the lack of staff in Community dental services, lack of recruitment to replace staff leading to more pressure being put on current staff causing multiple mistakes and near misses."
Community Care Division,"I have had [number removed] incident and [number removed] very serious operation in the [timeframe removed] I've been working in the phlebotomist department and in these occasions I feel I was not supported by this organisation what so ever, I find we are not supported in any way."
Community Care Division,"I have no faith that this organisation with take care of the physical and mental health needs of staff when it comes to managing case loads.  This has historically resulted in staff leaving and going off sick.  The manager is extremely supportive of people attending courses to progress in their career and for me this outweighs my current thoughts to leave.  Admittedly I love my role, the families I work with, and my team.  If it wasn't for them and access to training courses I feel I would have considered leaving more seriously that I currently do."
Community Care Division,"I have really enjoyed working in Mersey Care, and all the support from my team and the trust has been amazing, and has allowed me to thrive within my role."
Community Care Division,I have recently changed teams.  My new team is better managed and I feel supported.  My previous team had several toxic nurses who were unprofessional and nothing was dealt with despite numerous complaints.  I do not feel Mersey care take concerns from staff seriously.
Community Care Division,I have recently moved to my current department from a different department within this organisation and have worked for this organisation for just over a year.  My experience of some of the topics in the survey therefore are limited but what I have experienced up to now has mostly been positive.
Community Care Division,"I have seen there has been a drive for the recruitment of staff and this will, in time, help relieve some of the pressure felt by the staff on the shop floor.  My concern is the retention of keeping the experience staff that are already employed by the Trust.  Since staring within the UTCs/WICs I have spoken to many staff across the different sites and there is an undercurrent of unhappiness in the role, the staffing and the pressures faced daily, with many looking for new roles.  This feeds into my comment around not feeling valued as employees as it does not feel like wellbeing is being supported as expected in the Trust strategy.  Recruitment is no quick or easy task but I feel it is important to understand the effect this is having on the staff on the shop floor, feeling unmotivated, tired and under valued."
Community Care Division,"I have worked for NHS for many years, but several years ago I was down banded which caused me great anxiety and stress leaving me feeling undervalued.  I did contemplate leaving the NHS but as I was of a certain age and enjoyed my role within the service I decided to stay until retirement."
Community Care Division,"I have worked for the NHS for many years and had minimal sick leave.  I have had one day sick leave for a migraine within 4 years (including working through COVID on the wards).  I feel that the Merseycare sickness policy is awful.  I had to ring a number and justify why I was off sick, then wait for a return call from higher management that prevented me from resting.  Further to this I had text messages and constant reminders as to when I would be returning (from the sickness team).  I think this is harassment and unjustified.  If I am off with a migraine then I should be left alone to sleep.  I returned to work the following day not feeling great.  This is not a reflection on my immediate managers but on the Mersey Care sickness policy."
Community Care Division,"I have worked for the NHS for many years.  I have had various roles over the years but now I work as a Receptionist for Knowsley Clinical Admin Team.  I have never seen so many staff who are so unhappy, feeling so unappreciated and have no flexibility or say towards their rota and ways of working.  Staff are constantly giving ideas to management to make our team run more efficiently and effectively for the service needs and for staff to have a healthy work/life balance but unfortunately management just say ""No"".  No explanation given, just ""NO"".  Management style is micromanagement, Bullying people, shouting at staff.  I have never seen this before or worked in these conditions before.  I look forward to retirement."
Community Care Division,"I have worked for this organisation for many years and in this time I have seen a deterioration in the way that staff are treated.  Unfortunately work related stress has increased to record highs and this needs looking into.  The high turnover of staff, due to staff leaving the trust is unprecedented and this is becoming an unsafe work environment for staff and patients alike due to staffing issues and unrealistic workloads."
Community Care Division,"I have worked for this organisation since qualifying many years ago and have been supported throughout my career to return to university on three occasions to continuously further my professional and academic knowledge, all whilst bringing up a young family.  I have extremely understanding and supportive managers who will always strive to do the best for us."
Community Care Division,I have worked in the same department for the last [timeframe removed].  I do so because I have a fantastic direct line manager.  They put their staff first yet ensures our department maintains the highest standards.  I would be unlikely to stay in the Trust if they were to leave as I feel they give our department its identity and direction.
Community Care Division,I have worked under different senior leadership teams within the organisation and I would like to say that some are far superior in terms of displaying of trust values and the culture they promote and how they interact and listen to their staff.
Community Care Division,"I have, in the main, enjoyed working for the NHS.  I do think that more should be done within the organisation to deal properly with any members of staff who either cause others stress, bully people, speak in a disrespectful way, or don't pull their weight.  These people are in the minority, but seem to carry on regardless."
Community Care Division,I hope this is anonymous.
Community Care Division,I just hate my job now after[timeframe removed] of working for the NHS as a nurse.  My current Trust is the worst I have ever worked for they do not care about the staff at all do not listen which obviously impacts the patients in our care.
Community Care Division,I love Mersey Care!
Community Care Division,I love my job and enjoy the variety of tasks I undertake.  The most important aspect and positive impact for me has been working from home for most of my week; not having to commute on public transport (I don't drive) has freed up so much of my leisure time.  The only time I feel under stress is when my colleague is on annual leave and I'm having to try to keep on top of the workload on my own.
Community Care Division,"I love my job and find it challenging and rewarding every day.  I have excellent managers and work colleagues, working for a Respiratory Team that provides excellent care and for which I am proud to work with."
Community Care Division,"I love my job in terms of managing and supporting my staff members.  They are my priority and I have a responsibility to ensure they are happy, psychologically safe and have the suitable resources for their individual needs to assist them in completing their duties."
Community Care Division,"I much prefer the morals and values of my position in the NHS compared to my previous private employment.  I am not a band 2 however our band 2 admins work with duties befitting band 3 as regular day-to-day activities if someone goes above and beyond their job description this should be reflected in usable reward, they deserve a chance to progress and fight for their right to appropriate pay.  One banding system does not work across all departments, they are not all a booking service.  We hear about clinical patient-facing understaffing and under pay, but the administration side seem not to get the recognition.  We cannot function without them."
Community Care Division,"I often do well above my contracted hours for no extra pay due to pressures of my caseload.  I often feel stressed and mentally exhausted and this affects my personal life.  My work life balance needs to be reviewed.  It is the nature of the job and I accept it is the way I work, but I feel to do my job the way I want to - I have too many pressures.  This is the same of a lot of the other nurses in our team - that the job is undoable and can be extremely stressful.  I also want to partially retire and reduce my hours- to be able to claim my pension that I should have claimed in [date removed] as I have Special class status and can claim my pension at [age removed].  ([age and date removed]).  I don't want to just retire and return as I feel that I need to reduce my work hours to be able to improve my work/life balance.  I enjoy my role and feel well supported, I don't really want to leave my role but I want to take my pension and feel like I can't currently in my current role.  I understand that it is a full time job- My manager and Team leader have considered my request but currently not able to reduce my hours."
Community Care Division,"I really enjoy my job I feel the work we complete within out team does support families within the community to improve their health and wellbeing.  I work within a special team who are supportive and look out for one another we work with students and always make sure they are included in out team and we have an excellent team leader who is always ready to listen.  The only part of my job I do not like is the pay as with the cost of living it is not enough to live a decent life outside of work, nursing is a stressful job therefore it is important to have a life outside of work were you can relax and enjoy your time off."
Community Care Division,I really enjoy working in Mersey Care - feel that I am valued and I am lucky to have a supportive leadership team.
Community Care Division,I really think the sickness policy needs to be reviewed as it is a huge drain on the NHS.
Community Care Division,"I sent an email regarding starting up a men's health clinic and had nothing back, also my levels of anxiety has increased due to a suspension of my salary sacrifice due to a UC claim.  I sorted the issue out within a month and the salary sacrifice still has not been sorted out for[timeframe removed] and I feel that I am accruing debt and possibly will lose the car which I require for work."
Community Care Division,"I support my organisation, and always work towards the trust values.  They invest in staff because they want their staff to stay working with the trust so they them selves can become one of the best leading organisations."
Community Care Division,I think Mersey Care and the NHS as a whole is a fantastic employer.  The pay could be better but that is a wider systemic issue.  I'm allowed to work flexible/condensed hours which has helped with childcare through the years which has benefited my entire family.
Community Care Division,"I think Mersey Care is a great NHS trust to work for, in particular I have a very supportive manager and really appreciate the hard work that she puts in for her team."
Community Care Division,I think more awareness need to be done regarding ethnicity as some staff are experiencing micro aggression in place of work and being discriminated at because of their accent an personality including myself.  We all contribute to the development of the organisation so there should not be discrimination in place of work regarding how anyone is perceived.
Community Care Division,I think some of the senior management in Mersey care are happy to sweep things under the rug.  I feel like my immediate manager supports me as much as they can but I feel like those in positions above them are not supportive.  Even when we've had challenging times and begged for help they've treated us like we don't matter.  It sometimes makes it hard to respect them.
Community Care Division,I think the Freedom to Speak is essential for me feeling comfortable in my role and how much the organisation values it makes me feel confident and supported.  Thank you for this being in place.
Community Care Division,"I think the organisation is a great place to work.  However I think the lack of communication between concurrent running projects leads to duplication of work, or projects being worked on being irrelevant.  Regarding patient care I do think it is of high priority, but not highest, I feel like seeing patients within KPI is the number one priority.  Yes this absolutely is key to ensuring timely and efficient care across large cohorts of patients, but it would be disingenuous to say that the quality of care or staff wellbeing was the number one priority."
Community Care Division,"I think the Trust should do more to help with staff Psychological Wellbeing and Emotional Resilience due to having to deal with the general public and their traumas which they offload onto us.  Also I think the Trust's needs to do a LOT more work on Population Health and Prevention instead of fire fighting by frontline staff who are only getting burnt out.  Finally, with the rising level of anxiety and concern about Climate breakdown, 3/4 of the population have expressed feeling very worried about climate change and the direction humanity is headed, I would like to bring to your attention the effect this can have on us as Mersey Care staff and frontline healthcare professionals.  It is also on the rise in later life and within our hyper-individualistic, consumer-capitalist society, it can leave a lot of us feeling isolated, alienated, and helpless.  I have not seen any support (maybe I haven't looked hard enough) on the Mersey Care website, YourBrief emails or Magazine about the topic and was wondering if anyone in you are looking into this?  Earlier this year I attended a ""Climate Cafe"" / Listening Circle run by a member of The Climate Psychology Alliance (CPA).  They have registered and trained practitioners who have been holding safe spaces for people carrying the burden of being climate conscious, where it is often the only outlet people have to meet with likeminded individuals and hold a safe space for exploring how ""honouring our emotional responses can create strength in a time of climate and ecological breakdown"".  I met with the Psychologist afterwards who was more than happy to train others to be able to facilitate such safe spaces as they spend a lot of their time travelling between Liverpool and Manchester to deliver them.  They are beyond retirement age but continue to practice and volunteer for this cause but acknowledges they won't be able to continue for much longer and is keen to enable others to take up the baton to help with this work.  I'm sure if you did a survey of Mersey Care staff there would be quite a lot of people who are on the scale of ""somewhat"" to ""very worried"" as reported in the ONS study above.  I was wondering if this is something the Wellbeing Hub would be able to support?  I did email them this earlier in the year but didn't get any response.  Many thanks."
Community Care Division,"I think there is more opportunity for flexible working for administrative staff.  Majority of other organisations allow this but it is not widely accepted in ours.  Some managers will approve this and understand, while others don't.  I have children at home and current caring responsibilities for [family member removed], I could easily work from home and provide same standard of work, (if not more work because you don't have office interruptions) as I do in office rather than take the day off for carers leave or unpaid if I had an emergency where I couldn't come into office.  Nearly all of the nurses I work with work from home on a regular basis and some of them have small children etc too and it is never questioned and they provide clinical, patient facing work.  I think this needs reviewing to truly make flexible working more accessible."
Community Care Division,"I think this organisation is too focused on paperwork and emails, constant changes to things that work well then fail to do so when removed.  Staff moral is low, no flexibility for staff to stay, if you don't fit the rules they won't alter them to encourage staff to stay.  Management has lost interest in staff as individuals and you are just a number.  Too many management and none clinical managers who don't understand what it is like to work on the floor and cannot pitch in to help when the staffing is poor.  Not enough focus on patients rather than paperwork.  Poor communication, website isn't clear enough to allow patients to make a clear decision what we offer at each Walk in site.  Poor sickness policies where long term illnesses are staged the same as fit people, many staff leaving constantly due to the pressures."
Community Care Division,"I used to really love my job, working with children and families, but at present I feel its lots of documentation and lots of referrals."
Community Care Division,I used to work for another trust and would never go back.  This has been the best trust to work for.  Super proud to represent Mersey Care.
Community Care Division,I wish that senior and operational managers were more active with staff worries/concerns re bullying at work from direct team leaders or other colleagues.
Community Care Division,I wish the trust will take the pay scale seriously so staff can afford a better living condition as its really a struggle with cost of living at the moment as NHS Staff.
Community Care Division,I wish to take MARS due to my age and my health is not that good.
Community Care Division,"I work for the ICRAS team, Urgent Care and I have always felt valued in my role, and always feels supported by my managers."
Community Care Division,"I work with an excellent team, who are supportive of each other and the patients we see.  There is always an opportunity for formal/informal supervision."
Community Care Division,"I work within a hard working and committed team who are supportive and we can all be open and honest with each other, personal concerns stay confidential within our team."
Community Care Division,I work within the walk in centres.  Staffing is very poor.  As a band 7 nurse I very rarely get a break due to poor staffing.  Very busy departments.  Feel like management don't listen to our concerns.  We are budgeted for a certain amount of staff yet never have that number of staff on duty.  We are struggling and not looking forward to the upcoming winter pressures.
Community Care Division,I worked for the trust for over 10 years then left and have returned recently I think Merseycare supports staff well.
Community Care Division,"I worked in my job for many years and never felt as low as this, Merseycare are changing things and not for the best."
Community Care Division,I would just like to say how disappointed I am with my higher admin management who are completely unsupportive.  I just feel really worthless and like I am just a number.  Colleagues in the team are leaving because of it so we are losing highly skilled brilliant staff who have been here a long time.  My immediate line manager is one of the best I have ever had and just the most lovely and caring person.  I just wish the 2 higher managers could be as amazing as her.
Community Care Division,I would like there to be more clinical (rather than managerial) band 7 roles available within health visiting/children's services.
Community Care Division,"I would like to see the AFC review the Band 2 role of the DN Clerk/Admin within the Trust as this is role is paying £11.44 per hour which is the same as the minimum wage, this banding does not reflect the role in which as admin/ clerks work within the Trust and should be reviewed by both the Unions and the Trust Management."
Community Care Division,I would like to see the patients admitted to us to be actually physically well enough to go through rehabilitation.  I also think safe staffing numbers need to be addressed.
Community Care Division,I would like to work from home at all times.  I would also like to do long days in order to get work life balance for myself and because of my disability.  If I could afford to I would retire.
Community Care Division,I would still like the flexibility of WFH.
Community Care Division,I'm currently moved from a acute ward to a fantastic physical health ward in [number removed] months where I now feel valued and supported and a great environment and I am now enjoying going to work.
Community Care Division,I'm not sure who my line manager is.
Community Care Division,"I've been working for my service for the last [timeframe removed].  The strains to the service have become more and more visible/significant during this time.  Treatment waiting lists have grown significantly.  Staffing levels have dropped.  Treatments have become more complex due to waiting times.  Time constraints per patient have not altered over the years I have worked for the NHS, meaning I am currently working harder per patient appointment, now than I ever have done before.  I also have the burden of patient dissatisfaction due to waiting times.  The days can become tiresome with constant complaints and maxing out efforts at work constantly.  I don't know the answer to the above problems but I can not see myself continuing within the NHS as I get towards retirement, I don't believe I would be physically capable to do this job full time into retirement."
