HM1: Division,Comment
Community Care Division,"Better trust wide support for disabled staff Is desperately needed.  Trust wide training for all staff regarding neurodiversity's, including information regarding support, understanding and acceptance for any colleagues diagnosed with a neurodiverse condition is required.  Better timely organisation of reasonable adjustments support implementation, and more better action from the trust in regards to ensuring access to work awarded support is ordered and implemented in a timely manner by the trust is very much needed.  More stronger visibility and visible leadership from senior management and senior HR is needed in relation to support for disabled staff.  Maybe senior managers (CEO and the executive team) can consider having a bi monthly alternative virtual drop in session for disabled staff that is not the same as the staff disability network meetings but is led by the CEO, chief nurse and other senior managers.  Having this in place would be beneficial to the trust to show strong leadership that disabled staff will be better supported in future, and that there is an open forum for disabled staff to feel that their concerns, ideas and needs are being listened to and taken on board.  This will also help disabled staff to not be discriminated against, and to ensure that they will not face any discrimination in relation to their reasonable adjustments or because of the simple fact they require reasonable adjustments.  The proposed business case for the reasonable adjustments officer roles needs to be heard as soon as possible to ensure that hopefully this role can be implemented to better support the current and future disabled workforce, and improve experiences for disabled colleagues, managers and other trust wide colleagues."
Community Care Division,"Brilliant team, which all help each other and strive for excellence/best practice.  Amazing, caring and supportive manager and band 6 supervisors, who are always there to help.  Very happy in my place of work."
Community Care Division,Brilliant trust to work for.
Community Care Division,Bullies get looked after.
Community Care Division,Bullying and nepotism is rife.
Community Care Division,Bullying culture evident at senior level.  Senior managers not upholding trust values.  Staff are not being valued or recognised for genuine hard work and the expertise and value they bring.  Some staff given unfair advantage due to who they know.
Community Care Division,"Career progression is limited because it is not offered to all, just those that tick the right boxes or do certain roles.  Changing your role or seeking training whilst supporting a family is extremely difficult."
Community Care Division,"Certain members of SLT due to their relationship with execs display inappropriate behaviour to other members of the SLT which goes unchallenged by the chair.  Staff have raised concerns about nepotism and how their behaviour is accepted which is upsetting to see when it badly affects senior staff.  Work that would allow staff to develop is given straight to certain staff, again due to relationships, and excludes other staff members preventing their development.  Civility and respect does not include these 2 senior leaders they speak and behave however they like with lack of challenge."
Community Care Division,Clinical staff need to have the opportunity to work from home to complete admin tasks as much as the managing staff do.  Also mental health days should be brought in to stop people leaving the role within the first 2 years.
Community Care Division,Comments regarding my experience with 1 manager were addressed by myself during my PACE and discussed.  Staff witnessed and raised it within the team.
Community Care Division,Communication in all areas need to improve.
Community Care Division,Community nursing has changed dramatically since the 'Waiting' for patients was originally designed.  For example - having a waiting of 1 so 15 minutes for an insulin visit is ridiculous when it takes 20 minutes to even drive to the patient.  Patient's are more complex and we have taken on more responsibilities but the time for this is remains the same.  We are continuously working through our unpaid lunch time and into the evening when we are at home.  Also there needs to be better communication between the hospitals and the community as we often get no referral for a patient or a limited one that lacks important information.
Community Care Division,"Considering how many staff the team is short by, it would be nice to bring back overtime without having to have it approved at the last second when you're absolutely desperate for staff.  Also, when someone speaks up against bullying, it would be nice if those who then speak up as a result, are not treated like criminals and told by the 8B not to gossip.  Not really sure how Mersey Care has managed to miss the ball so terribly with freedom to speak up.  Usually when one person whistle blows, it causes a domino effect of other people finding the confidence to speak up.  When this happened in my team, concerns fell upon deaf ears and we were told it was a 'witch hunt' and the person accused was protected and not investigated.  The original person who was spoken up about has now left and 10 staff members have left since person accused.  Maybe you should take a look at that."
Community Care Division,"Considering the trust has a reported learning culture, can I suggest that bands 8 and above consider this as these people in the hierarchy need to wake up and pull their fingers out!  The only group of people learning are the clinicians at the sharp end?  Glad to be retiring within the next year as I find Mersey care absolutely embarrassing at board and higher levels - not a clue!"
Community Care Division,Continually bombarded with emails and information.  I feel that half the job is taking up with satisfying policies and procedures which leaves less time for clinical practice.  This is not always reflected when scrutinizing time allocation between clinical and no-clinical duties.  More time is spent using IT which at times connectivity is an issue and my eyes sight has deteriorated due to the amount of screen time now expected as part of carrying out my job role.
